timeStamp,resourceId,operationName,category,properties.clientIp,properties.requestUri,properties.action,properties.hostname,properties.message,properties.ruleId,properties.ruleGroup,properties.transactionId
2026-07-09T09:59:00.006+08:00,/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,36.158.231.55,/www/.env,Blocked,purview.novonordiskchina.com.cn,Inbound Anomaly Score Exceeded (Total Score: 7),931100,BLOCKING-EVALUATION,5b532ea29b48437da489138676cf41fa
2026-07-09T09:59:00.207+08:00,/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,114.238.251.132,/main/.env,Blocked,purview.novonordiskchina.com.cn,Inbound Anomaly Score Exceeded (Total Score: 7),949110,BLOCKING-EVALUATION,206cc690d9b54eb1a4695b8c15a32739
2026-07-09T09:59:00.407+08:00,/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,124.238.251.133,/www/.env,Blocked,purview.novonordiskchina.com.cn,"Access denied with code 403. Pattern match url, at QueryString.",949110,BLOCKING-EVALUATION,3e3d59f0ff7c4fe5b6e64e5a000be2b5
2026-07-09T09:59:00.608+08:00,/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,111.62.149.24,/new/.env.staging,Blocked,purview.novonordiskchina.com.cn,"Access denied with code 403. Pattern match url, at QueryString.",942100,BLOCKING-EVALUATION,3b8a1fc20c914bb7a557ce7d5b454863
2026-07-09T09:59:00.809+08:00,/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,114.238.251.132,/www/.env,Blocked,purview.novonordiskchina.com.cn,"Access denied with code 403. Pattern match url, at QueryString.",931100,BLOCKING-EVALUATION,169497286c42471fadacbe2535c6eac1
2026-07-09T09:59:01.010+08:00,/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,36.158.231.55,/main/.env,Blocked,purview.novonordiskchina.com.cn,"Access denied with code 403. Pattern match url, at QueryString.",942100,BLOCKING-EVALUATION,e8a7851a45fe4b2d842f2a08ac7a936a
2026-07-09T09:59:01.210+08:00,/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,124.238.251.133,/laravel/core/.env,Blocked,purview.novonordiskchina.com.cn,"Access denied with code 403. Pattern match url, at QueryString.",942100,BLOCKING-EVALUATION,27c9c159aecc4199804a487b3e3a1710
2026-07-09T09:59:01.411+08:00,/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,36.158.231.55,/api/app/shop/hysOrderResultUrlParse,Blocked,purview.novonordiskchina.com.cn,"Access denied with code 403. Pattern match url, at QueryString.",942100,BLOCKING-EVALUATION,0f881ea1cc2a433f977dac5190b3e3cc
2026-07-09T09:59:01.612+08:00,/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,124.238.251.133,/xampp/.env,Blocked,purview.novonordiskchina.com.cn,Inbound Anomaly Score Exceeded (Total Score: 7),942100,BLOCKING-EVALUATION,27599c88d2044de39b2e8dee2d506106
2026-07-09T09:59:01.813+08:00,/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,36.158.231.55,/xampp/.env,Blocked,purview.novonordiskchina.com.cn,Inbound Anomaly Score Exceeded (Total Score: 10),931100,BLOCKING-EVALUATION,38358ee6ce9c41ba8d03e08525cdb790
2026-07-09T09:59:02.013+08:00,/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,114.238.251.132,/.env~,Blocked,purview.novonordiskchina.com.cn,Inbound Anomaly Score Exceeded (Total Score: 10),942100,BLOCKING-EVALUATION,5e5505e8c345499497e7b39f7432adfb
2026-07-09T09:59:02.214+08:00,/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,114.238.251.132,/main/.env,Blocked,purview.novonordiskchina.com.cn,Inbound Anomaly Score Exceeded (Total Score: 7),949110,BLOCKING-EVALUATION,0fb131aac6ca42a49f870e3bf6795a13
2026-07-09T09:59:02.415+08:00,/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,114.238.251.132,/api/app/shop/hysOrderResultUrlParse,Blocked,purview.novonordiskchina.com.cn,Inbound Anomaly Score Exceeded (Total Score: 10),949110,BLOCKING-EVALUATION,ee85dcf0c4dd4a419d1cd0ee68472319
2026-07-09T09:59:02.616+08:00,/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,114.238.251.132,/xampp/.env,Blocked,purview.novonordiskchina.com.cn,Inbound Anomaly Score Exceeded (Total Score: 7),942100,BLOCKING-EVALUATION,32172b492cdd4df7870743996be3e3e8
2026-07-09T09:59:02.816+08:00,/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,124.238.251.133,/api/app/shop/hysOrderResultUrlParse,Blocked,purview.novonordiskchina.com.cn,"Access denied with code 403. Pattern match url, at QueryString.",942100,BLOCKING-EVALUATION,fa2c663c7365477c80ba331058da109d
